scenario,frame_idx,frame_name,ego_cav,com_range_m,bandwidth_mbps,all_cavs,in_range_cavs,selected_cavs,n_selected,fusion_method,reason,llm_response_time_s
2021_08_18_19_11_02,0,000070,1188,70.0,5.43,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,"Bandwidth constraints allow only low‑bit data, and diverse directions give best coverage.",43.73
2021_08_18_19_11_02,50,000170,1188,70.0,5.56,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,"Low‑bandwidth fusion feasible for all in‑range vehicles, preserving diverse directional coverage and continuity.",38.65
2021_08_18_19_11_02,100,000270,1188,70.0,5.47,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1215|1197,4,late,"Bandwidth limitation confines us to low‑bandwidth late fusion; all in‑range CAVs are in distinct directions, preserving diverse coverage while maintaining continuity.",48.82
2021_08_20_20_39_00,50,000169,1234,45.0,5.48,1234|1243|1252,1234|1243|1252,1234|1243|1252,3,late,Low bandwidth allows late fusion with both CAVs contributing complementary N and NW views to enhance perception.,30.7
2021_08_20_20_39_00,100,000269,1234,45.0,5.34,1234|1243|1252,1234|1243|1252,1234|1243|1252,3,late,Low bandwidth allows late fusion with both CAVs contributing complementary N and NW views to enhance perception.,40.18
2021_08_21_09_09_41,0,000070,476,45.0,53.28,476|485|494|503,476|494|503,476|503|494,3,late,Complementary directional coverage with bandwidth well within limits.,31.52
2021_08_21_09_09_41,150,000370,485,45.0,54.32,476|485|494|503,476|485|494,485|476|494,3,intermediate,Dual neighbouring CAVs provide complementary coverage and moderate bandwidth remains within limits; intermediate fusion yields better accuracy than prior late fusion.,34.71
2021_08_21_22_21_37,100,000269,2987,45.0,5.36,2987|2996|3005,2987|2996|3005,2987|2996|3005,3,late,"Late fusion required due to low bandwidth; both CAVs provide complementary SE and E views, and bandwidth remains far below the 5.4 Mbps limit.",32.71
2021_08_22_06_43_37,50,000170,3152,45.0,56.76,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,late,Late fusion maximises coverage under tight bandwidth.,30.73
2021_08_22_06_43_37,100,000270,3152,45.0,53.86,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,late,Late fusion fits bandwidth limits; all CAVs provide complementary coverage and previous selection remains optimal.,39.85
2021_08_22_06_43_37,150,000370,3152,45.0,54.67,3152|3161|3170|3179,3152|3161|3170|3179,3152|3161|3179|3170,4,late,Maintained late fusion with all in‑range CAVs for full directional coverage while staying within bandwidth limits.,41.84
